"Sponsor Name","Town/City","Additional Locations","Sponsor Type","Status","Route","Immigration Compliance"
"St Peters School","York",,"Independent school","Student Sponsor","Child Student",
"St Peters School","York",,"Independent school","Student Sponsor","Student",
"St Swithun's School","Winchester",,"Independent school","Student Sponsor","Child Student",
"St Swithun's School","Winchester",,"Independent school","Student Sponsor","Student",
"St Wilfrid's School","Exeter",,"Independent school","Student Sponsor","Child Student",
"St. Clare's, Oxford","Oxford",,"Independent school","Student Sponsor","Child Student",
"St. Clare's, Oxford","Oxford",,"Independent school","Student Sponsor","Student",
"St. Cloud State University","Alnwick",,"Overseas Higher Education Institution","Student Sponsor","Student",
"St. Crispin's School (Leicester Ltd)","Leicester",,"Independent school","Student Sponsor","Child Student",
"St. Dominic's Grammar School","Brewood",,"Independent school","Probationary Sponsor","Child Student",
"St. Dominic's Grammar School","Brewood",,"Independent school","Probationary Sponsor","Student",
"St. Edward's Preparatory School","Cheltenham",,"Independent school","Probationary Sponsor","Child Student",
"ST. GEORGE'S SCHOOL, EDGBASTON","BIRMINGHAM",,"Independent school","Student Sponsor","Child Student",
"ST. GEORGE'S SCHOOL, EDGBASTON","BIRMINGHAM",,"Independent school","Student Sponsor","Student",
"St. John's Preparatory & Senior School Ltd","Potters Bar",,"Independent school","Student Sponsor","Child Student",
"St. John's Preparatory & Senior School Ltd","Potters Bar",,"Independent school","Student Sponsor","Student",
"St. Lawrence University (USA) London Programme","London",,"Overseas Higher Education Institution","Student Sponsor","Student",
"Stafford Grammar School","Stafford",,"Independent school","Probationary Sponsor","Child Student",
"Stafford Grammar School","Stafford",,"Independent school","Probationary Sponsor","Student",
"Staffordshire University","Stoke-on-Trent",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Stageworks Productions Ltd","London",,"Private provider","Probationary Sponsor","Student",
"Stanmore College","Stanmore",,"Publicly funded college","Student Sponsor","Student",
"Stay Campus London","London",,"Private provider","Probationary Sponsor","Student",
"Stockport Grammar School","Stockport",,"Independent school","Student Sponsor","Child Student",
"Stockport Grammar School","Stockport",,"Independent school","Student Sponsor","Student",
"Stonyhurst","Clitheroe",,"Independent school","Student Sponsor","Child Student",
"Stonyhurst","Clitheroe",,"Independent school","Student Sponsor","Student",
"STOVER SCHOOL ASSOCIATION LTD","NEWTON ABBOT",,"Independent school","Student Sponsor","Child Student",
"STOVER SCHOOL ASSOCIATION LTD","NEWTON ABBOT",,"Independent school","Student Sponsor","Student",
"Stowe School Limited","Buckingham",,"Independent school","Student Sponsor","Child Student",
"Stowe School Limited","Buckingham",,"Independent school","Student Sponsor","Student",
"Stranmillis University College","Belfast",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Strathallan School","Perth",,"Independent school","Student Sponsor","Child Student",
"Strathallan School","Perth",,"Independent school","Student Sponsor","Student",
"Streatham & Clapham High School","Streatham",,"Independent school","Student Sponsor","Child Student",
"Streatham & Clapham High School","Streatham",,"Independent school","Student Sponsor","Student",
"Study Group UK Ltd","Various","University of Aberdeen ISC / Cardiff University ISC / Coventry University ISC (London Campus) / Durham University ISC / Kingston University ISC / Lancaster University ISC / Leeds University ISC / Teesside University ISC / Liverpool John Moores University ISC / Royal Holloway ISC / The University of Sheffield International College / University of Huddersfield ISC / University of Huddersfield (London) / University of Strathclyde ISC / University of Surrey ISC / University of Sussex ISC","Private provider","Student Sponsor - Track Record","Student",
"Summer Fields School Trust Ltd","Oxford",,"Independent school","Student Sponsor","Child Student",
"Summerhill School","LEISTON",,"Independent school","Student Sponsor","Child Student",
"Sunningdale School Limited","Ascot",,"Independent school","Student Sponsor","Child Student",
"Surbiton High School","Kingston upon Thames",,"Independent school","Student Sponsor","Child Student",
"Surbiton High School","Kingston upon Thames",,"Independent school","Student Sponsor","Student",
"Sutton High School","Sutton",,"Independent school","Student Sponsor","Child Student",
"Sutton High School","Sutton",,"Independent school","Student Sponsor","Student",
"Sutton Valence School","Maidstone",,"Independent school","Student Sponsor","Child Student",
"Sutton Valence School","Maidstone",,"Independent school","Student Sponsor","Student",
"Swansea University","Swansea","The College, Swansea University (Bay Campus)","Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Swedish school society in London","London",,"Independent school","Student Sponsor","Child Student",
"Swedish school society in London","London",,"Independent school","Student Sponsor","Student",
"Sydenham High School","London",,"Independent school","Student Sponsor","Child Student",
"Sylvia Young Theatre School","London",,"Independent school","Student Sponsor","Child Student",
"Syracuse University London Program","London",,"Overseas Higher Education Institution","Student Sponsor","Student",
"Talbot Heath School Trust Ltd","Bournemouth",,"Independent school","Student Sponsor","Child Student",
"Talbot Heath School Trust Ltd","Bournemouth",,"Independent school","Student Sponsor","Student",
"TASIS The American School in England","Egham",,"Independent school","Student Sponsor","Child Student",
"TASIS The American School in England","Egham",,"Independent school","Student Sponsor","Student",
"Taunton School Educational Charity","Taunton",,"Independent school","Student Sponsor","Child Student",
"Taunton School Educational Charity","Taunton",,"Independent school","Student Sponsor","Student",
"Tavistock and Portman NHS Foundation Trust","London",,"Private provider","Student Sponsor - Track Record","Student",
"Teesside High School","Stockton on Tees",,"Independent school","Student Sponsor","Child Student",
"Teesside High School","Stockton on Tees",,"Independent school","Student Sponsor","Student",
"Teesside University","Middlesbrough",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Teikyo Foundation (UK)","Wexham",,"Independent school","Student Sponsor","Child Student",
"Teikyo Foundation (UK)","Wexham",,"Independent school","Student Sponsor","Student",
"TEIKYO UNIVERSITY OF JAPAN IN DURHAM","DURHAM",,"Overseas Higher Education Institution","Student Sponsor","Student",
"Terra Nova School Trust Ltd","Holmes Chapel",,"Independent school","Student Sponsor","Child Student",
"TERRINGTON HALL TRUST LTD","YORK",,"Independent school","Probationary Sponsor","Child Student",
"Tettenhall College","Wolverhampton",,"Independent school","Student Sponsor","Child Student",
"Tettenhall College","Wolverhampton",,"Independent school","Student Sponsor","Student",
"Thames Christian School","London",,"Independent school","Student Sponsor","Child Student",
"Thames Christian School","London",,"Independent school","Student Sponsor","Students",
"The Abbey College","Malvern",,"Independent school","Student Sponsor","Child Student",
"The Abbey College","Malvern",,"Independent school","Student Sponsor","Student",
"The Abbey School","Reading",,"Independent school","Student Sponsor","Child Student",
"The Abbey School","Reading",,"Independent school","Student Sponsor","Student",
"The Aga Khan University (International) in the United Kingdom","London",,"Private provider","Student Sponsor","Student",
"The Aldenham Foundation","Elstree",,"Independent school","Student Sponsor","Child Student",
"The Aldenham Foundation","Elstree",,"Independent school","Student Sponsor","Student",
"The American School in London","London",,"Independent school","Student Sponsor","Child Student",
"The American School in London","London",,"Independent school","Student Sponsor","Student",
"The Bell Concord Educational Trust Ltd","Shrewsbury",,"Independent school","Student Sponsor","Child Student",
"The Bell Concord Educational Trust Ltd","Shrewsbury",,"Independent school","Student Sponsor","Student",
"The Bournemouth & Poole College","Poole",,"Publicly funded college","Student Sponsor","Student",
"The British Racing School","Newmarket",,"Private provider","Student Sponsor","Student",
"The Bury Grammar Schools Trustee Ltd","Bury",,"Independent school","Student Sponsor","Child Student",
"The Cavendish School Charitable Trust Ltd.","London",,"Independent school","Student Sponsor","Child Student",
"The Cedars School","London",,"Independent school","Student Sponsor","Child Student",
"The Cheltenham Ladies' College","Cheltenham",,"Independent school","Student Sponsor","Child Student",
"The Cheltenham Ladies' College","Cheltenham",,"Independent school","Student Sponsor","Student",
"The Claremont Fan Court Foundation Limited","Esher",,"Independent school","Student Sponsor","Child Student",
"The Claremont Fan Court Foundation Limited","Esher",,"Independent school","Student Sponsor","Student",
"The College of Animal Welfare Limited","Godmanchester",,"Private provider","Student Sponsor","Student",
"The College of Health Ltd trading as The McTimoney College of Chiropractic","Abingdon",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"The College of Richard Collyer","Horsham",,"Publicly funded college","Student Sponsor","Student",
"The Cornwall College Group","St Austell",,"Publicly funded college","Probationary Sponsor","Student",
"The Dartington Hall Trust","Dartington",,"Private provider","Student Sponsor - Track Record","Student",
"The Dean Close Foundation","Cheltenham",,"Independent school","Student Sponsor","Child Student",
"The Dean Close Foundation","Cheltenham",,"Independent school","Student Sponsor","Student",
"The Downs, Malvern College Prep School","Malvern",,"Independent school","Student Sponsor","Child Student",
"The Edinburgh Academy","Edinburgh",,"Independent school","Student Sponsor - Track Record","Child Student",
"The Edinburgh Academy","Edinburgh",,"Independent school","Student Sponsor - Track Record","Student",
"The Elms School","Malvern",,"Independent school","Student Sponsor","Child Student",
"The Elms School","Malvern",,"Independent school","Student Sponsor","Student",
"The Engineering and Design Institute London","London",,"Private provider","Student Sponsor","Student",
"The English Language Centre","Reading",,"Private provider","Student Sponsor","Student",
"The Glasgow School of Art","Glasgow",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"The Godolphin School","Salisbury",,"Independent school","Student Sponsor","Child Student",
"The Godolphin School","Salisbury",,"Independent school","Student Sponsor","Student",
"The Godstowe Preparatory School Company Ltd","High Wycombe",,"Independent school","Student Sponsor","Child Student",
"The Gower School","London",,"Independent school","Student Sponsor","Child Student",
"The Grammar School at Leeds","Leeds",,"Independent school","Student Sponsor","Child Student",
"The Gregg Schools Trust","Southampton",,"Independent school","Student Sponsor","Child Student",
"The Hammond School","Chester",,"Independent school","Student Sponsor","Child Student",
"THE HARRODIAN SCHOOL","BARNES",,"Independent school","Student Sponsor","Child Student",
"THE HARRODIAN SCHOOL","BARNES",,"Independent school","Student Sponsor","Student",
"The Hawthorns School","Bletchingley",,"Independent school","Student Sponsor","Child Student",
"The Incorporated Bishop's Stortford College Association","Bishop's Stortford",,"Independent school","Student Sponsor","Child Student",
"The Incorporated Bishop's Stortford College Association","Bishop's Stortford",,"Independent school","Student Sponsor","Student",
"The Institute of Cancer Research","Sutton",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"The John Lyon School","Harrow on the Hill",,"Independent school","Student Sponsor","Child Student",
"The John Lyon School","Harrow on the Hill",,"Independent school","Student Sponsor","Student",
"The Johnson Trust Limited t/a Seaford College","Petworth",,"Independent school","Student Sponsor","Child Student",
"The Johnson Trust Limited t/a Seaford College","Petworth",,"Independent school","Student Sponsor","Student",
"The King's School","Ely",,"Independent school","Student Sponsor","Child Student",
"The King's School","Ely",,"Independent school","Student Sponsor","Student",
"The King's School","Canterbury",,"Independent school","Student Sponsor","Child Student",
"The King's School","Canterbury",,"Independent school","Student Sponsor","Student",
"The King's School","EASTLEIGH",,"Independent school","Student Sponsor","Child Student",
"The King's School","EASTLEIGH",,"Independent school","Student Sponsor","Student",
"The King's School","Chester",,"Independent school","Student Sponsor","Child Student",
"The King's School","Harpenden",,"Independent school","Student Sponsor","Child Student",
"The Laurels School Ltd","Upper Norwood",,"Independent school","Student Sponsor","Child Student",
"The Leys School","Cambridge",,"Independent school","Student Sponsor","Child Student",
"The Leys School","Cambridge",,"Independent school","Student Sponsor","Student",
"The Liverpool Institute for Performing Arts","Liverpool",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"The Lloyd Williamson Schools FoundationSchools","London",,"Independent school","Student Sponsor","Child Student",
"The Loughborough Schools Foundation","Loughborough",,"Independent school","Student Sponsor","Child Student",
"The Loughborough Schools Foundation","Loughborough",,"Independent school","Student Sponsor","Student",
"The Manor Preparatory School","Abingdon",,"Independent school","Student Sponsor","Child Student",
"The Marist Schools","Ascot",,"Independent school","Student Sponsor","Child Student",
"The Maynard School","Exeter",,"Independent school","Student Sponsor","Child Student",
"The Montessori Place","Hove",,"Independent school","Student Sponsor","Child Student",
"The Mount School (York)","York",,"Independent school","Student Sponsor","Child Student",
"The Mount School (York)","York",,"Independent school","Student Sponsor","Student",
"The National Mathematics and Science College","Coventry",,"Independent school","Student Sponsor","Child Student",
"The National Mathematics and Science College","Coventry",,"Independent school","Student Sponsor","Student",
"The National Piping Centre","Glasgow",,"Private provider","Probationary Sponsor","Student",
"The New Beacon","Sevenoaks",,"Independent school","Student Sponsor","Child Student",
"The Open University","Milton Keynes",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"The Oratory Schools Association","Reading",,"Independent school","Student Sponsor","Child Student",
"The Oratory Schools Association","Reading",,"Independent school","Student Sponsor","Student",
"The Pace Centre","Aylesbury",,"Independent school","Student Sponsor","Child Student",
"The Perse School","Cambridge",,"Independent school","Student Sponsor","Child Student",
"The Perse School","Cambridge",,"Independent school","Student Sponsor","Student",
"The Peterborough School Limited","Peterborough",,"Independent school","Student Sponsor","Child Student",
"The Peterborough School Limited","Peterborough",,"Independent school","Student Sponsor","Student",
"The Pilgrims School","Winchester",,"Independent school","Student Sponsor","Child Student",
"THE PORTSMOUTH GRAMMAR SCHOOL","PORTSMOUTH",,"Independent school","Student Sponsor","Child Student",
"The Prebendal School","Chichester",,"Independent school","Probationary Sponsor","Child Student",
"The Prince's Foundation","London",,"Private provider","Student Sponsor - Track Record","Student",
"The Purcell School","Bushey",,"Independent school","Student Sponsor","Child Student",
"The Purcell School","Bushey",,"Independent school","Student Sponsor","Student",
"The Queen's Foundation for Ecumenical Theological Education","Birmingham",,"Private provider","Student Sponsor - Track Record","Student",
"The Queen's School","Chester",,"Independent school","Student Sponsor","Child Student",
"The Read School","Selby",,"Independent school","Student Sponsor","Child Student",
"The Read School","Selby",,"Independent school","Student Sponsor","Student",
"The Red Maids' High School","Bristol",,"Independent school","Student Sponsor","Child Student",
"The Red Maids' High School","Bristol",,"Independent school","Student Sponsor","Student",
"The Robert Gordon University","Aberdeen","The International College at Robert Gordon University(Embedded College)","Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"The Royal Ballet School","London",,"Independent school","Student Sponsor","Child Student",
"The Royal Ballet School","London",,"Independent school","Student Sponsor","Student",
"The Royal Central School of Speech and Drama","London",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"The Royal High School GDST","Bath",,"Independent school","Student Sponsor","Child Student",
"The Royal High School GDST","Bath",,"Independent school","Student Sponsor","Student",
"The Royal Masonic School for Girls","Rickmansworth",,"Independent school","Student Sponsor","Child Student",
"The Royal Masonic School for Girls","Rickmansworth",,"Independent school","Student Sponsor","Student",
"The Royal School Dungannon","Dungannon",,"Independent school","Student Sponsor","Child Student",
"The Royal School Dungannon","Dungannon",,"Independent school","Student Sponsor","Student",
"The Royal School","Armagh",,"Independent school","Student Sponsor","Child Student",
"The Royal School","Armagh",,"Independent school","Student Sponsor","Student",
"The Royal School","Haslemere",,"Independent school","Student Sponsor","Child Student",
"The Royal School","Haslemere",,"Independent school","Student Sponsor","Student",
"The Saints Schools Limited","Grimsby",,"Independent school","Student Sponsor","Child Student",
"The Saints Schools Limited","Grimsby",,"Independent school","Student Sponsor","Student",
"The Salvation Army","London",,"Private provider","Student Sponsor","Student",
"The SENAD Group","Derby",,"Independent school","Student Sponsor","Child Student",
"The SENAD Group","Derby",,"Independent school","Student Sponsor","Student",
"The Sheffield College","Sheffield",,"Publicly funded college","Probationary Sponsor","Student",
"The St Gabriel Schools Foundation","Newbury",,"Independent school","Student Sponsor","Child Student",
"The St Gabriel Schools Foundation","Newbury",,"Independent school","Student Sponsor","Student",
"The Stamford Endowed Schools","Stamford",,"Independent school","Student Sponsor","Child Student",
"The Stamford Endowed Schools","Stamford",,"Independent school","Student Sponsor","Student",
"The Stephen Perse Foundation","Cambridge",,"Independent school","Student Sponsor","Child Student",
"The Stephen Perse Foundation","Cambridge",,"Independent school","Student Sponsor","Student",
"The Study (Wimbledon) Ltd","Wimbledon Common",,"Independent school","Student Sponsor","Child Student",
"The Talland School of EQuitation LLP","Cirencester",,"Private provider","Student Sponsor","Student",
"The United World College of the Atlantic Ltd","LLANTWIT MAJOR",,"Independent school","Student Sponsor","Child Student",
"The United World College of the Atlantic Ltd","LLANTWIT MAJOR",,"Independent school","Student Sponsor","Student",
"The University of Bolton","Bolton",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"The University of Buckingham","Buckingham",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"The University of Law Limited","Guildford",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"The University of Northampton","Northampton","University of Northampton International College (Embedded College)","Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"The University of Salford","Salford",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"The University Of Sheffield","Sheffield",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"The University of West London","London","Drama Studio London","Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"The University of Winchester","Winchester",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"The University of Worcester","Worcester",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"The White House Preparatory School","London",,"Independent school","Student Sponsor","Child Student",
"The WKCIC Group (trading as Capital City College Group)","London",,"Publicly funded college","Student Sponsor - Track Record","Student",
"The Yehudi Menuhin School","Cobham",,"Independent school","Student Sponsor","Child Student",
"The Yehudi Menuhin School","Cobham",,"Independent school","Student Sponsor","Student",
"Thetford Grammar School","Thetford",,"Independent school","Student Sponsor","Child Student",
"Thetford Grammar School","Thetford",,"Independent school","Student Sponsor","Student",
"Thornton College","Milton Keynes",,"Independent school","Student Sponsor","Child Student",
"Thornton College","Milton Keynes",,"Independent school","Student Sponsor","Student",
"Thorpe House School","Gerrards Cross",,"Independent school","Student Sponsor","Child Student",
"Tonbridge School","Tonbridge",,"Independent school","Student Sponsor","Child Student",
"Treloar School","Alton",,"Independent school","Student Sponsor","Child Student",
"Treloar School","Alton",,"Independent school","Student Sponsor","Student",
"Trent College Limited","Long Eaton",,"Independent school","Student Sponsor","Child Student",
"Trent College Limited","Long Eaton",,"Independent school","Student Sponsor","Student",
"Trevor Roberts School Ltd","London",,"Independent school","Student Sponsor","Child Student",
"Tring Park School for the Performing Arts","Tring",,"Independent school","Student Sponsor","Child Student",
"Tring Park School for the Performing Arts","Tring",,"Independent school","Student Sponsor","Student",
"Trinity College Bristol","Bristol",,"Private provider","Student Sponsor","Student",
"Trinity College Dublin at Belfast","Belfast",,"Private provider","Student Sponsor - Track Record","Student",
"Trinity Laban","London",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Trinity School Limited","Teignmouth",,"Independent school","Student Sponsor","Child Student",
"Trinity School","Croydon",,"Independent school","Student Sponsor","Child Student",
"Trinity School","Croydon",,"Independent school","Student Sponsor","Student",
"Truro High School for Girls","Truro",,"Independent school","Student Sponsor","Child Student",
"Truro High School for Girls","Truro",,"Independent school","Student Sponsor","Student",
"Truro School","Truro",,"Independent school","Student Sponsor","Child Student",
"Truro School","Truro",,"Independent school","Student Sponsor","Student",
"Tudor Hall School","Banbury",,"Independent school","Student Sponsor","Child Student",
"Tudor Hall School","Banbury",,"Independent school","Student Sponsor","Student",
"Twin Training International Ltd","Various","English Centre Eastbourne","Private provider","Student Sponsor","Student",
"Twyford School","Winchester",,"Independent school","Student Sponsor","Child Student",
"Tyne Coast College","South Shields",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Union Foundation","Bridgend",,"Private provider","Student Sponsor - Track Record","Student",
"Union Theological College","Belfast",,"Higher Education Institution (HEI)","Student Sponsor","Student",
"United Church Schools Trust","Kettering",,"Independent school","Student Sponsor","Child Student",
"United Church Schools Trust","Kettering",,"Independent school","Student Sponsor","Student",
"University College Birmingham","Birmingham",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University College London","London",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University College of Osteopathy","London",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University for the Creative Arts","Farnham","Farnham Campus / UCA Canterbury / UCA Epsom / UCA Rochester","Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Aberdeen","Aberdeen",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Bath","Bath",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Bedfordshire","Luton",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Birmingham","Birmingham",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Bradford","Bradford",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Brighton International College","Brighton",,"Embedded college offering pathway courses","Student Sponsor - Track Record","Student",
"University of Brighton","Brighton",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Bristol","Bristol",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Cambridge","Cambridge",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Central Lancashire","PRESTON",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Chester","Chester",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Chicago Booth School of Business","London",,"Overseas Higher Education Institution","Student Sponsor","Student",
"University of Chichester","Chichester",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Cumbria","Lancaster",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Derby","Derby",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Dundee","Dundee","International College Dundee","Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Durham","Durham",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of East Anglia","Norwich",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of East London","London",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Edinburgh","Edinburgh",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Essex International College","Colchester",,"Embedded college offering pathway courses","Student Sponsor","Student",
"University of Essex","Colchester",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Exeter","Exeter",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Glasgow","Glasgow",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Gloucestershire","Cheltenham",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Greenwich","Various","University of Greenwich International College (Embedded College)","Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Hertfordshire Higher Education Corporation","Hatfield","Hertfordshire International College (Embedded College)","Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Huddersfield","Various","University of Huddersfield ISC (Embedded College)","Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Hull","Hull",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Kent","Canterbury",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Leeds","Leeds",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Leicester","Leicester",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Lincoln","Lincoln",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Liverpool International College","Liverpool",,"Embedded college offering pathway courses","Student Sponsor - Track Record","Student",
"University of Liverpool","Liverpool",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of London","London",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Manchester","Manchester",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of North Carolina","London",,"Overseas Higher Education Institution","Student Sponsor","Student",
"University of Northumbria at Newcastle","Newcastle Upon Tyne",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Notre Dame","London",,"Overseas Higher Education Institution","Student Sponsor","Student",
"University of Nottingham International College","Nottingham",,"Embedded college offering pathway courses","Student Sponsor - Track Record","Student",
"University of Nottingham","Nottingham",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Oxford","Oxford",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Plymouth","Plymouth","Plymouth University International College (Embedded College)","Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Portsmouth","Portsmouth","International College Portsmouth (Embedded College)","Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Reading","Reading",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of South Wales","Various","The Royal Welsh College of Music & Drama","Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Southampton","Southampton",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of St Andrews","St Andrews",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of St Mark & St John","Plymouth",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Stirling","Stirling",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Strathclyde","Glasgow",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Suffolk","Ipswich",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Sunderland","Sunderland",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Surrey","Guildford",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Sussex","Brighton",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of the Arts London","Wexham",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of the Highlands and Islands","Inverness",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of the West of England Bristol's International College","Bristol",,"Embedded college offering pathway courses","Student Sponsor - Track Record","Student",
"University of the West of England","BRISTOL",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of the West of Scotland","Paisley",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Ulster","Coleraine",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Wales Trinity St. David","Various","Carmarthen Campus / Swansea Business School / Lampeter Campus / London Campus / Birmingham Campus / Wales International Academy of Voice","Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Warwick","Coventry",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Westminster","London",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of Wolverhampton","Wolverhampton",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"University of York","York",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Uppingham School (Company Registration Number 8013826)","Uppingham",,"Independent school","Student Sponsor","Child Student",
"Uppingham School (Company Registration Number 8013826)","Uppingham",,"Independent school","Student Sponsor","Student",
"Upton House School Limited","Windsor",,"Independent school","Probationary Sponsor","Child Student",
"Varndean College","Brighton",,"Publicly funded college","Student Sponsor","Student",
"Victoria College Belfast","Belfast",,"Independent school","Probationary Sponsor","Child Student",
"Victoria College Belfast","Belfast",,"Independent school","Probationary Sponsor","Student",
"Vinehall School Ltd","Robertsbridge",,"Independent school","Student Sponsor","Child Student",
"Wadham College of Science","Cardiff",,"Independent school","Probationary Sponsor","Child Student",
"Wadham College of Science","Cardiff",,"Independent school","Probationary Sponsor","Student",
"Wakefied Independent School","Wakefield",,"Independent school","Probationary Sponsor","Child Student",
"Walhampton School","Lymington",,"Independent school","Student Sponsor","Child Student",
"Warminster School","Warminster",,"Independent school","Student Sponsor","Child Student",
"Warminster School","Warminster",,"Independent school","Student Sponsor","Student",
"Warwick Independent Schools Foundation","Warwick",,"Independent school","Student Sponsor","Child Student",
"Warwick Independent Schools Foundation","Warwick",,"Independent school","Student Sponsor","Student",
"Warwickshire College","Leamington Spa",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Washington International Studies Council","Oxford",,"Private provider","Student Sponsor","Student",
"WE Bridge International Ltd","Cardiff",,"Private provider","Student Sponsor - Track Record","Student",
"Wellesley Haddon Dene","Broadstairs",,"Independent school","Probationary Sponsor","Child Student",
